"Année","Groupe de produits","Produit","Prix moyen TVA incl."
"2026","Gasoil Diesel routier","Diesel B7 (€/L)",1.876
"2026","Gasoil Diesel routier","Diesel B10 (€/L)",1.868
"2026","Gasoil Diesel routier","Diesel B20 (€/L)",1.872
"2026","Gasoil Diesel routier","Diesel B30 (€/L)",1.925
"2026","Gasoil Diesel routier","Diesel XTL (€/L)",3.327
"2026","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.97
"2026","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",1.011
"2026","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.967
"2026","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",1.007
"2026","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",1.125
"2026","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.885
